Pathway	GeneIndex	GPSeq
all	505	0.17056383938131
all	506	0.894517901257921
all	507	0.526723422728457
all	508	0.408676581635286
all	509	0.137431199662406
all	510	0.366398903428314
all	511	0.719750818972108
all	512	0.398700334440271
all	513	0.392632704975928
all	514	0.869172736666919
all	515	0.402669028348046
all	516	1
all	517	0.556076754573345
all	518	0.487324693269278
all	519	0.62313289539108
all	520	0.270458355252023
all	521	0.928226027162905
all	522	0.751454739393252
all	523	0.656810143365518
all	524	0.238874100597486
all	525	0.43708590139713
all	526	0.257828330328007
all	527	0.165257177005601
all	528	0.158427256992749
all	529	1
all	530	0.459412747967991
all	531	0.327663687386089
all	532	0.744070278806848
all	533	0.298890853650156
all	534	0.833166981116882
all	535	0.604453202660689
all	536	0.414703796448313
all	537	0.675602702613559
all	538	0.747351566267036
all	539	0.375280534153229
all	540	0.441635372095037
all	541	0.316289086279318
all	542	1
all	543	1
all	544	0.812679079249525
all	545	0.326947400371891
all	546	0.525630588104518
all	547	0.942899304684299
all	548	0.917260848149237
all	549	1
all	550	1
all	551	0.327937572917349
all	552	0.363864249220045
all	553	0.653340584129095
all	554	0.256693874286003
all	555	0.54476208549487
all	556	0.904011599776714
all	557	0.355893420373101
all	558	0.827202991535194
all	559	0.697745410041612
all	560	0.389707177959575
all	561	0.727590312875432
all	562	0.365176971193111
all	563	0.2532522155342
all	564	0.594353725170577
all	565	0.554841259432469
all	566	0.720542025002762
all	567	0.902432315976928
all	568	0.121496215188878
all	569	0.340059244199136
all	570	0.22925247930792
all	571	0.394980471575411
all	572	0.313262774868346
all	573	0.488656305875619
all	574	0.730685079488976
all	575	0.417869681197726
all	576	0.37311113665691
all	577	0.597450074049688
all	578	0.35556378039031
all	579	0.597687670009363
all	580	0.932217428208521
all	581	0.595411419063064
all	582	0.463881317642957
all	583	0.352072832398281
all	584	0.656221146090872
all	585	0.285286847107185
all	586	0.348279933589047
all	587	0.291778746687207
all	588	0.25017397622097
all	589	0.213652044713787
all	590	0.352394560303873
all	591	0.541306701588407
all	592	0.286388913848466
all	593	0.454174600755873
all	594	0.459701726682411
all	595	0.448288782902236
all	596	0.467072107401874
all	597	0.229158994699738
all	598	0.283977834895031
all	599	0.314796577525908
all	600	0.824128366309703
all	601	0.651122888222178
all	602	0.247617087715125
all	603	0.69507079599312
all	604	0.46281377652431
all	605	0.528343156902822
all	606	0.399822055788942
all	607	0.223660987983577
all	608	0.403649419718082
all	609	1
all	610	0.23510655678367
all	611	0.227026440364288
all	612	0.375720362406104
all	613	0.234442779653432
all	614	0.716146314282528
all	615	0.742821241319329
all	616	0.244305314722865
all	617	0.451871489770577
all	618	0.30732958426318
all	619	0.708837805349826
all	620	0.708837805349826
all	621	0.435850121117449
all	622	0.67164698330562
all	623	0.67164698330562
all	624	0.386445744395988
all	625	0.710300038867264
all	626	0.268732463027907
all	627	0.671770514850866
all	628	0.408083932682486
all	629	0.636163089578576
all	630	0.23522791693375
all	631	0.301221986609524
all	632	0.266089446507694
all	633	0.943661009393043
all	634	0.649164778247569
all	635	0.649164778247569
all	636	0.718003863400229
all	637	0.549793569924676
all	638	0.901643136076262
all	639	0.257000890107545
all	640	0.333414323406108
all	641	0.859423806351314
all	642	0.773366087849739
all	643	0.30875030758525
all	644	0.767673720151283
all	645	0.510127393318896
all	646	0.66495787159476
all	647	0.66495787159476
all	648	0.362769871754235
all	649	0.525257272936928
