cond	sd
2 h	0.176666688129193
2 h	0.14432029235162
2 h	0.200809687776396
2 h	0.170448798075097
2 h	0.168186980696953
2 h	0.163862784811694
2 h	0.182504419227915
2 h	0.163758862669819
2 h	0.0999869054947445
2 h	0.176655875136477
2 h	0.0848099266196058
2 h	0.132528494717599
2 h	0.173963119821663
2 h	0.123328414222626
2 h	0.182591599064215
2 h	0.176289842185691
2 h	0.170034346096636
2 h	0.195991052070184
2 h	0.190669969546123
2 h	0.168101272087462
2 h	0.16880327184067
2 h	0.194522366600468
2 h	0.100027136732385
2 h	0.204530411002727
2 h	0.206466219199843
2 h	0.15197640077427
2 h	0.123679780967413
2 h	0.208960978023239
2 h	0.161678085270336
2 h	0.14481556561351
2 h	0.212163160171195
2 h	0.208719451410621
2 h	0.150515438879575
2 h	0.170751573339279
2 h	0.1707884212992
2 h	0.184288303990825
2 h	0.101119917751293
2 h	0.189665828910072
2 h	0.160762200798611
2 h	0.145400101304504
2 h	0.179807068828003
2 h	0.0911581659787825
2 h	0.202964539217046
2 h	0.191259333245713
2 h	0.0991131976532586
2 h	0.157790810430237
2 h	0.178966911607419
2 h	0.191197261260855
2 h	0.124113592825812
2 h	0.141085902301247
2 h	0.164406127390025
2 h	0.165646758305294
2 h	0.198274158440857
2 h	0.172353921140919
2 h	0.154248009116164
2 h	0.150445358489696
2 h	0.161172507348434
2 h	0.155835146325407
2 h	0.222602824501118
2 h	0.146103247633208
2 h	0.121104573456564
2 h	0.160041300295883
2 h	0.176484301156748
2 h	0.155804498533329
2 h	0.0945791014608212
2 h	0.105004512349997
2 h	0.15612718583643
2 h	0.160176694193103
2 h	0.198098149569072
2 h	0.179583906824666
2 h	0.184967923292617
2 h	0.221871539910443
2 h	0.190755843073524
2 h	0.154238138293068
2 h	0.195613025811063
2 h	0.148876510810182
2 h	0.192522606591349
2 h	0.204728093918406
2 h	0.184162022414018
2 h	0.16214182950868
2 h	0.166677109413927
2 h	0.23930605416127
2 h	0.132183632813267
2 h	0.147556094129997
2 h	0.184424465625363
2 h	0.174444858347435
2 h	0.200546718489998
2 h	0.140638293162194
2 h	0.174382277050539
2 h	0.0927836827199904
2 h	0.20568980775492
2 h	0.191861344287199
2 h	0.159415753240903
2 h	0.213516135426089
2 h	0.141227451329221
2 h	0.149024770179101
2 h	0.179601946489138
2 h	0.155449981433109
2 h	0.147054197430874
2 h	0.134228655247933
2 h	0.123175645474249
2 h	0.207196233408953
2 h	0.151977977074763
2 h	0.198034887368843
2 h	0.174994607045233
2 h	0.176190178181082
2 h	0.195658715919501
2 h	0.133429643358042
2 h	0.151492720052731
2 h	0.136600618204031
2 h	0.111678143924441
2 h	0.229732071258969
2 h	0.178350695241595
2 h	0.194807157576569
2 h	0.189772428742392
2 h	0.129363498370914
2 h	0.126587386726172
2 h	0.195725109023027
