cond	exp	dln
2 h	Exp.1	0.743720825491065
2 h	Exp.1	0.645968909734351
2 h	Exp.1	0.574402681706692
2 h	Exp.1	0.583988327020834
2 h	Exp.1	0.5677621623386
2 h	Exp.1	0.596672251243424
2 h	Exp.1	0.516990597755733
2 h	Exp.1	0.632042924355741
2 h	Exp.1	0.607540833525523
2 h	Exp.1	0.572354538052114
2 h	Exp.1	0.562307924369512
2 h	Exp.1	0.66218983749909
2 h	Exp.1	0.70312045479866
2 h	Exp.1	0.535511171091065
2 h	Exp.1	0.596488589207545
2 h	Exp.1	0.771611828680114
2 h	Exp.1	0.983243590208556
2 h	Exp.1	0.574790800459028
2 h	Exp.1	0.590811794903678
2 h	Exp.1	0.608819065990494
2 h	Exp.1	0.625583322639659
2 h	Exp.1	0.680197617549598
2 h	Exp.1	0.667515483333037
2 h	Exp.1	0.596198521867669
2 h	Exp.1	0.574877287769588
2 h	Exp.1	0.589200516764308
2 h	Exp.1	0.842776402000508
2 h	Exp.1	0.650723860602861
2 h	Exp.1	0.565792146758027
2 h	Exp.1	0.624450846743461
2 h	Exp.1	0.593340835381227
2 h	Exp.1	0.674890716613686
2 h	Exp.1	0.591508197715989
2 h	Exp.1	0.671577718746651
2 h	Exp.1	0.612238067722421
2 h	Exp.1	0.591523402999352
2 h	Exp.1	0.677561659733054
2 h	Exp.1	0.599096280053948
2 h	Exp.1	0.580866578606413
2 h	Exp.1	0.602831890091684
2 h	Exp.1	0.734709301425366
2 h	Exp.1	0.666121500147484
2 h	Exp.1	0.671094147633486
2 h	Exp.1	0.6595423603153
2 h	Exp.1	0.584503442061887
2 h	Exp.1	0.68990977705956
2 h	Exp.1	0.65723271734605
2 h	Exp.1	0.617824348636277
2 h	Exp.1	0.586026450904937
2 h	Exp.1	0.703689983580116
2 h	Exp.1	0.588549635882928
2 h	Exp.1	0.653948911286505
2 h	Exp.1	0.589500772864814
2 h	Exp.1	0.624109335219391
2 h	Exp.1	0.568302881840277
2 h	Exp.1	0.596801161909601
2 h	Exp.1	0.644491207849586
2 h	Exp.1	0.565616571539505
2 h	Exp.1	0.786646845406085
2 h	Exp.1	0.568859040806793
2 h	Exp.1	0.584896469481274
2 h	Exp.1	0.545916594325199
2 h	Exp.1	0.685744168163121
2 h	Exp.1	0.628873420925684
2 h	Exp.1	0.700949221656209
2 h	Exp.1	0.670493619713286
2 h	Exp.1	0.660398147166924
2 h	Exp.1	0.688825453693903
2 h	Exp.1	0.615113340155116
2 h	Exp.1	0.861118984905962
2 h	Exp.1	0.602751454898705
2 h	Exp.1	0.609473230360524
2 h	Exp.1	0.551280123007718
2 h	Exp.1	0.572406931955424
2 h	Exp.1	0.702748042357937
2 h	Exp.1	0.550309538050087
2 h	Exp.1	0.640195043499204
2 h	Exp.1	0.564895097035186
2 h	Exp.1	0.515915714358482
2 h	Exp.1	0.63006103515625
2 h	Exp.1	0.739442592334512
2 h	Exp.1	0.626818644994271
2 h	Exp.1	0.628462204507959
2 h	Exp.1	0.642417965967833
2 h	Exp.1	0.603083250436886
2 h	Exp.1	0.624734740886363
2 h	Exp.1	0.641837047544928
2 h	Exp.1	0.46622962435269
2 h	Exp.1	0.685963284456348
2 h	Exp.1	0.636645530790806
2 h	Exp.1	0.647848017248373
2 h	Exp.1	0.631232964927433
2 h	Exp.1	0.608006613989742
2 h	Exp.1	0.833784340544685
2 h	Exp.1	0.642256392716935
2 h	Exp.1	0.548408298684323
2 h	Exp.1	0.714071546793314
2 h	Exp.1	0.682723040848848
2 h	Exp.1	0.702766094549696
2 h	Exp.1	0.575688299633227
2 h	Exp.1	0.607837356911726
2 h	Exp.1	0.593872988118703
2 h	Exp.1	0.6583837585969
2 h	Exp.1	0.550261645508943
2 h	Exp.1	0.606922738602191
2 h	Exp.1	0.606945456975737
2 h	Exp.1	0.62047946033029
2 h	Exp.1	0.538708997715292
2 h	Exp.1	0.621068433245266
2 h	Exp.1	0.616407263734072
2 h	Exp.1	0.595341852938224
2 h	Exp.1	0.608069304501341
2 h	Exp.1	0.497504378235444
2 h	Exp.1	0.559189536833344
2 h	Exp.1	0.57613249462005
2 h	Exp.1	0.599661923114062
2 h	Exp.1	0.553938422564419
2 h	Exp.1	0.627959825153219
2 h	Exp.1	0.590683093197977
2 h	Exp.1	0.565326576762824
2 h	Exp.1	0.565956857463522
2 h	Exp.1	0.595168930482167
2 h	Exp.1	0.606280106465024
2 h	Exp.1	0.457535429750918
2 h	Exp.1	0.634354249378658
2 h	Exp.1	0.907136544324576
2 h	Exp.1	0.582970071464212
2 h	Exp.1	0.547555904549945
2 h	Exp.1	0.519752946095786
2 h	Exp.1	0.618378198091262
2 h	Exp.1	0.603401534685346
2 h	Exp.1	0.550289712591707
2 h	Exp.1	0.574962326364998
2 h	Exp.1	0.688961554687036
2 h	Exp.1	0.593425567126705
2 h	Exp.1	0.525263576984795
2 h	Exp.1	0.625208421015976
2 h	Exp.1	0.659581748101605
2 h	Exp.1	0.689171595949899
2 h	Exp.1	0.590735148165449
2 h	Exp.1	0.641703215002953
2 h	Exp.1	0.684691807717335
2 h	Exp.1	0.547054611611819
2 h	Exp.1	0.6919162835971
2 h	Exp.1	0.605181140824212
2 h	Exp.1	0.663760913041743
2 h	Exp.1	0.566782612927379
2 h	Exp.1	0.660640152946919
2 h	Exp.1	0.631158126479855
2 h	Exp.1	0.567624086561542
2 h	Exp.1	0.588684174986837
2 h	Exp.1	0.606096751437748
2 h	Exp.1	0.722194189768024
2 h	Exp.1	0.662343842420304
2 h	Exp.1	0.673010154906224
2 h	Exp.1	0.644459209302986
2 h	Exp.1	0.612291083818066
2 h	Exp.1	0.621120522422598
2 h	Exp.1	0.756574475213107
2 h	Exp.1	0.612347851923706
2 h	Exp.1	0.571942653842394
2 h	Exp.1	0.577440968645129
2 h	Exp.1	0.616007020956642
2 h	Exp.1	0.538892706360024
2 h	Exp.1	0.62487159148602
2 h	Exp.1	0.61850380821668
2 h	Exp.1	0.601106692514914
2 h	Exp.1	0.57865350972391
2 h	Exp.1	0.637383928594206
2 h	Exp.1	0.689447791474914
2 h	Exp.1	0.635481522466095
2 h	Exp.1	0.622845682132115
2 h	Exp.1	0.617712194982243
2 h	Exp.1	0.689759326111534
2 h	Exp.1	0.608471160436687
2 h	Exp.1	0.543272603829674
2 h	Exp.1	0.562957245415503
2 h	Exp.1	0.62
2 h	Exp.1	0.647342765278952
2 h	Exp.1	0.517093645776293
2 h	Exp.1	0.695898343733471
