cond	exp	dln
30 min	Exp.3	0.386495929226014
30 min	Exp.3	0.408784268661133
30 min	Exp.3	0.443517094476609
30 min	Exp.3	0.515129635125309
30 min	Exp.3	0.556909158403702
30 min	Exp.3	0.401511489842104
30 min	Exp.3	0.429371259929489
30 min	Exp.3	0.438595528268334
30 min	Exp.3	0.388908447198043
30 min	Exp.3	0.430801346950624
30 min	Exp.3	0.38
30 min	Exp.3	0.393515158969573
30 min	Exp.3	0.444415004741605
30 min	Exp.3	0.443126709947223
30 min	Exp.3	0.451756908329139
30 min	Exp.3	0.465057971479329
30 min	Exp.3	0.880336560161922
30 min	Exp.3	0.587356417468058
30 min	Exp.3	0.406427740157762
30 min	Exp.3	0.861078864527475
30 min	Exp.3	0.438228839118011
30 min	Exp.3	0.421217154977619
30 min	Exp.3	0.332471592168802
30 min	Exp.3	0.442447045662725
30 min	Exp.3	0.402322209130631
30 min	Exp.3	0.431573798697974
30 min	Exp.3	0.364273678184631
30 min	Exp.3	0.367226072463799
30 min	Exp.3	0.351436953051907
30 min	Exp.3	0.40746697629165
30 min	Exp.3	0.453152075565701
30 min	Exp.3	0.397599410615808
30 min	Exp.3	0.60899810196674
30 min	Exp.3	0.414901471554509
30 min	Exp.3	0.333196999293909
30 min	Exp.3	0.46738243613713
30 min	Exp.3	0.410070376724701
30 min	Exp.3	0.438475765762928
30 min	Exp.3	0.455084606924185
30 min	Exp.3	0.417530457671665
30 min	Exp.3	0.467295625584773
30 min	Exp.3	0.46199160804343
30 min	Exp.3	0.540892487903479
30 min	Exp.3	0.444250705108349
30 min	Exp.3	0.423961154680605
30 min	Exp.3	0.407962124094893
30 min	Exp.3	0.426483353032571
30 min	Exp.3	0.42689956098877
30 min	Exp.3	0.476178226692127
30 min	Exp.3	0.408755583387515
30 min	Exp.3	0.44443936173762
30 min	Exp.3	0.464360900550555
30 min	Exp.3	0.487084207687161
30 min	Exp.3	0.465844740705734
30 min	Exp.3	0.528514517313655
30 min	Exp.3	0.315899690909827
