chromIDA	binA	chromIDB	binB	hic	d3dmean
1	5	3	67	0.757037255156944	0.646732432108524
1	5	3	68	0.681480493009189	0.632707450841974
1	5	3	69	0.633546574475464	0.575040295433631
1	5	3	70	0.611503034233353	0.567014512948629
1	6	1	7	0.111705162443556	0.0434308828251272
1	6	1	8	0.194341654542855	0.109325553561099
1	6	1	9	0.240985666236655	0.118919764112928
1	6	1	10	0.268425603096441	0.135102686130415
1	6	1	11	0.264914246519093	0.154841075637048
1	6	1	12	0.264574779829085	0.181868772786356
1	6	1	13	0.378486547216084	0.370416620566912
1	6	1	14		0.588725607258083
1	6	1	15	0.404217593118024	0.3343669674518
1	6	1	16	0.395829111616388	0.267626206979596
1	6	1	17	0.434878419325594	0.321058697341248
1	6	1	18	0.451466895578266	0.345537070521139
1	6	1	19	0.461702814943299	0.384283825701799
1	6	1	20	0.512004862723617	0.422485167177892
1	6	1	21	0.410434326365418	0.30137480061035
1	6	1	22	0.460920849170895	0.394215163724442
1	6	1	23	0.443670822346888	0.342109481836073
1	6	1	24	0.439557362431021	0.372449030750241
1	6	1	25	0.435244158573391	0.399059011647314
1	6	2	26	0.779857232765356	0.670596425943865
1	6	2	27	0.731601606874198	0.687284539651399
1	6	2	28	0.677817870646932	0.601241064735431
1	6	2	29	0.680361162046843	0.641151918798324
1	6	2	30	0.693965837206748	0.590740618663044
1	6	2	31	0.756977308619241	0.661608084474272
1	6	2	32	0.693601602131177	0.58186835156022
1	6	2	33	0.722361631565536	0.580524600503668
1	6	2	34	0.734534603274686	0.61342920148085
1	6	2	35	0.736975510872432	0.591832225481229
1	6	2	36	0.761247010023444	0.557934355055796
1	6	2	37	0.75124355162794	0.567268595706409
1	6	2	38	0.77935180002754	0.579790775534404
1	6	2	39	0.753687062293252	0.628268143348295
1	6	2	40	0.761974059517918	0.69720468016568
1	6	2	41	0.744066402598399	0.683131405055122
1	6	2	42	0.743276615995312	0.699837532516905
1	6	2	43	0.696968128720887	0.602125291671634
1	6	2	44	0.758962143882615	0.707231508128043
1	6	2	45	0.758740501252119	0.726591600067087
1	6	2	46	0.690482758301283	0.656605146851352
1	6	2	47	0.73319880175786	0.698028086934288
1	6	2	48	0.717873343423512	0.69362501878849
1	6	2	49	0.662691816714703	0.569512655161843
1	6	2	50	0.717686586702319	0.521578111822274
1	6	3	51	0.727032760083867	0.703354748784113
1	6	3	52	0.690257537642499	0.596324636464768
1	6	3	53	0.744781443376017	0.712114177937477
1	6	3	54	0.713063240734201	0.637749652983388
1	6	3	55	0.654061997447241	0.512706026973335
1	6	3	56	0.670498288217898	0.493275058118216
1	6	3	57	0.733296928910314	0.607945269848888
1	6	3	58	0.745663215940745	0.637197415991539
1	6	3	59	0.80270131136959	0.696275613845933
1	6	3	60	0.78728006551861	0.689151153148292
1	6	3	61	0.764631892295547	0.678744795916492
1	6	3	62	0.741855200886374	0.657872382492374
1	6	3	63	0.683051148389197	0.538842581886669
1	6	3	64	0.715646207492977	0.58332413568189
1	6	3	65	0.74636627702335	0.65541372291782
1	6	3	66	0.728908034582215	0.681318298658683
1	6	3	67	0.773655500443519	0.710673276699349
1	6	3	68	0.707931277373631	0.697366733987215
1	6	3	69	0.666568397296872	0.645025548847379
1	6	3	70	0.662817036080439	0.638624700543498
1	7	1	8	0.108304327417948	0.047384457174131
1	7	1	9	0.197382145371457	0.0931060706988552
1	7	1	10	0.235246688325925	0.127636666207222
1	7	1	11	0.243788648097509	0.153620238727637
1	7	1	12	0.262445042110897	0.219612478522025
1	7	1	13	0.399805349630835	0.405889100246118
1	7	1	14		0.592685187312902
1	7	1	15	0.43457345091951	0.370456711223386
1	7	1	16	0.43857453983292	0.318901555441089
1	7	1	17	0.439491196387124	0.350011148239976
1	7	1	18	0.454022699314532	0.369237422643461
1	7	1	19	0.452661134663101	0.402165831592972
1	7	1	20	0.472272948148254	0.43424527211336
1	7	1	21	0.446713310537687	0.342027029096356
1	7	1	22	0.461775148789937	0.414042320114665
1	7	1	23	0.474840502231495	0.375266333942633
1	7	1	24	0.460627117206194	0.399599328196303
1	7	1	25	0.452361659253588	0.42133276520921
1	7	2	26	0.797182539827204	0.724374677938233
1	7	2	27	0.735154000829156	0.739509582566701
1	7	2	28	0.700811689377608	0.660413612096511
1	7	2	29	0.70952242266847	0.697172416903598
1	7	2	30	0.698647652861781	0.651167801962995
1	7	2	31	0.73503769266006	0.715908344212405
1	7	2	32	0.696396866551733	0.642731318852521
1	7	2	33	0.729735701171275	0.642122635656804
1	7	2	34	0.738072836078052	0.671926676909154
1	7	2	35	0.749711637450474	0.652291630868842
1	7	2	36	0.759630011932639	0.621114204883609
1	7	2	37	0.749440292603057	0.630128716086545
1	7	2	38	0.797563050025033	0.641604013199751
1	7	2	39	0.754781018261976	0.68667276282563
1	7	2	40	0.76011796902124	0.750586815302626
1	7	2	41	0.739916572923141	0.73758228007399
1	7	2	42	0.736692875707745	0.753135175979212
1	7	2	43	0.714131583923553	0.662406925289879
1	7	2	44	0.753034216626697	0.759729199456077
1	7	2	45	0.763695664314694	0.777267491227448
1	7	2	46	0.709501497273334	0.711600451942446
1	7	2	47	0.745743059994272	0.75007729469584
1	7	2	48	0.71698242717191	0.745274512028109
1	7	2	49	0.690399068175516	0.6311362533705
1	7	2	50	0.773670510379353	0.587791559166843
1	7	3	51	0.727179685655947	0.75300826931919
1	7	3	52	0.703347020311323	0.654336183877235
1	7	3	53	0.731503537453081	0.760760269467659
1	7	3	54	0.709093438804527	0.692012086394319
1	7	3	55	0.673235829916274	0.578742710808061
1	7	3	56	0.690762649548681	0.562064079983853
1	7	3	57	0.719236482899217	0.66584665907226
1	7	3	58	0.725122870419293	0.692907362557379
1	7	3	59	0.760554400097403	0.747640728236723
1	7	3	60	0.753439556218927	0.740962344982527
1	7	3	61	0.747711297822932	0.731404242875402
1	7	3	62	0.724130155552686	0.711826717356445
1	7	3	63	0.697841310829801	0.603256828028472
1	7	3	64	0.714652435469897	0.643277077585208
1	7	3	65	0.723528414775028	0.709234663939772
1	7	3	66	0.720477778074424	0.732851322304726
