comp	Layer	Ns	K562_RepliSeq	N
A2	5	0	44.3748835600281	2229
B1	7	0	44.4510987640381	288
B1	5	0	44.8430450569153	133
B1	6	0	43.9671031467819	250
B1	6	0	45.9462714060974	250
B1	5	0	51.2499117197037	133
B1	6	0	56.0656133375549	250
B1	6	0	60.8260774979019	250
B1	6	0	61.7179936985397	250
B1	5	0	60.4172773532486	133
B1	7	0	59.9749936369324	288
B1	7	0	62.1691366126633	288
B1	7	0	63.2846300504303	288
A2	6	0	60.9165111891556	1555
A2	8	0	61.5007487635803	421
A2	7	0	66.1764118033981	881
A2	7	0	69.8989944313812	881
A2	7	0	73.4939417327118	881
A1	8	0	77.054720484848	497
A1	8	0	79.7000504956818	497
A1	8	0	81.8490917539215	497
A1	9	0	82.4019412112427	515
A1	7	0	80.8690272734833	412
A2	9	0	77.3617565129852	182
A1	9	0	77.0596202771759	515
A1	9	0	77.8450683054352	515
A1	7	0	75.9634893986511	412
A1	9	0	75.485593958664	515
A1	8	0	74.6446262077332	497
A1	10	0	72.3960751772308	823
A1	9	0	68.9084455489349	515
A1	9	0	74.5004801585388	515
A1	9	0	72.7201602174377	515
A2	10	0	66.108573322525	133
B1	10	0	62.0850625263596	193
A1	10	0	61.1595645978165	823
A1	9	0	60.6126827151489	515
A1	10	0	57.2662464840698	823
A2	9	0	52.3712091006851	182
B1	9	0	45.6635356737137	202
B1	9	0	42.3123135226059	202
B1	9	0	39.809559378624	202
B1	8	0	38.3759101842117	255
B1	8	0	39.3516947903824	255
B1	10	0	39.0037336622238	193
B1	10	0	38.8830144565582	193
B1	9	0	41.2588149825668	202
B1	9	0	43.5578985467148	202
B1	9	0	48.1048711605454	202
B1	9	0	55.1350544316483	202
B1	9	0	60.6274566121674	202
B1	9	0	64.188361620903	202
B1	10	0	66.8569592421722	193
A2	10	0	68.3265686272431	133
A1	9	0	69.011614969101	515
A1	10	0	70.2486518000794	823
A1	8	0	71.0504298980713	497
A1	7	0	71.068473975296	412
A1	8	0	69.8532877367401	497
A1	8	0	66.2465883823395	497
A1	8	0	63.6160601383209	497
B1	7	0	60.7127888885117	288
B1	8	0	57.4977724612427	255
