dist_from_nuclear_lamina	fluorescence_intensity	condition
0.457286432160804	54766	2h
0.462311557788945	54217	2h
0.467336683417085	53766	2h
0.472361809045226	54334	2h
0.477386934673367	54755	2h
0.482412060301508	54340	2h
0.487437185929648	54247	2h
0.492462311557789	54208	2h
0.49748743718593	54410	2h
0.50251256281407	54056	2h
0.507537688442211	54149	2h
0.512562814070352	54361	2h
0.517587939698492	54460	2h
0.522613065326633	54207	2h
0.527638190954774	53663	2h
0.532663316582915	54105	2h
0.537688442211055	54437	2h
0.542713567839196	53966	2h
0.547738693467337	53859	2h
0.552763819095477	53912	2h
0.557788944723618	54030	2h
0.562814070351759	53939	2h
0.5678391959799	54015	2h
0.57286432160804	53959	2h
0.577889447236181	53825	2h
0.582914572864322	53818	2h
0.587939698492462	53467	2h
0.592964824120603	53680	2h
0.597989949748744	53742	2h
0.603015075376884	53520	2h
0.608040201005025	53391	2h
0.613065326633166	53672	2h
0.618090452261307	53447	2h
0.623115577889447	53729	2h
0.628140703517588	53506	2h
0.633165829145729	53311	2h
0.638190954773869	53373	2h
0.64321608040201	53273	2h
0.648241206030151	53161	2h
0.653266331658292	53241	2h
0.658291457286432	53088	2h
0.663316582914573	52943	2h
0.668341708542714	53133	2h
0.673366834170854	53076	2h
0.678391959798995	52912	2h
0.683417085427136	53365	2h
0.688442211055276	53029	2h
0.693467336683417	52928	2h
0.698492462311558	52962	2h
0.703517587939699	52996	2h
0.708542713567839	52708	2h
0.71356783919598	52532	2h
0.718592964824121	52510.5	2h
0.723618090452261	52352	2h
0.728643216080402	52557	2h
0.733668341708543	52718	2h
0.738693467336683	52700	2h
0.743718592964824	52704	2h
0.748743718592965	53241	2h
0.753768844221106	52474	2h
0.758793969849246	52444	2h
0.763819095477387	52335	2h
0.768844221105528	51951	2h
0.773869346733668	52072	2h
0.778894472361809	52056	2h
0.78391959798995	52606	2h
0.78894472361809	52630	2h
0.793969849246231	52066	2h
0.798994974874372	52101	2h
0.804020100502513	51632	2h
0.809045226130653	52713	2h
0.814070351758794	52244	2h
0.819095477386935	52913	2h
0.824120603015075	52144	2h
0.829145728643216	52030	2h
0.834170854271357	51361	2h
0.839195979899497	51545	2h
0.844221105527638	51547	2h
0.849246231155779	51856	2h
0.85427135678392	52023	2h
0.85929648241206	51949	2h
0.864321608040201	52219.5	2h
0.869346733668342	51753	2h
0.874371859296482	52427	2h
0.879396984924623	52394	2h
0.884422110552764	52539	2h
0.889447236180904	51570	2h
0.894472361809045	50631	2h
0.899497487437186	49882	2h
0.904522613065327	51325	2h
0.909547738693467	52557	2h
0.914572864321608	51961	2h
0.919597989949749	51456	2h
0.924623115577889	50909	2h
0.92964824120603	48631	2h
0.934673366834171	55208	2h
0.939698492462312	53626	2h
0.944723618090452	48162	2h
0.949748743718593	50483	2h
0.954773869346734	53813	2h
0.959798994974874	49161	2h
0.964824120603015	42871	2h
0.969849246231156	NA	2h
0.974874371859296	NA	2h
0.979899497487437	NA	2h
0.984924623115578	NA	2h
0.989949748743719	NA	2h
0.994974874371859	51718	2h
1	NA	2h
0	NA	1h
0.005025125628141	NA	1h
0.010050251256281	65148	1h
0.015075376884422	75976	1h
0.020100502512563	51587	1h
0.025125628140704	21367	1h
0.030150753768844	22705	1h
0.035175879396985	24518	1h
0.040201005025126	26246	1h
0.045226130653266	25279	1h
0.050251256281407	26747	1h
0.055276381909548	27228	1h
0.060301507537688	27143	1h
0.065326633165829	27948	1h
0.07035175879397	30128	1h
0.075376884422111	32100	1h
0.080402010050251	33282	1h
0.085427135678392	33092	1h
0.090452261306533	32333	1h
0.095477386934673	32968	1h
0.100502512562814	34657	1h
0.105527638190955	35745	1h
0.110552763819095	36282	1h
0.115577889447236	36212	1h
0.120603015075377	37000	1h
0.125628140703518	38073	1h
0.130653266331658	38809	1h
0.135678391959799	39630	1h
0.14070351758794	40534	1h
0.14572864321608	41749	1h
0.150753768844221	42098	1h
0.155778894472362	42326	1h
0.160804020100503	42619	1h
0.165829145728643	42660	1h
0.170854271356784	43064	1h
0.175879396984925	43593	1h
0.180904522613065	45323	1h
0.185929648241206	45240	1h
0.190954773869347	46683	1h
0.195979899497487	46800	1h
0.201005025125628	47778	1h
0.206030150753769	47480	1h
0.21105527638191	47959	1h
0.21608040201005	48229	1h
0.221105527638191	48042	1h
0.226130653266332	49808	1h
0.231155778894472	47870	1h
0.236180904522613	50469	1h
0.241206030150754	50545	1h
0.246231155778894	50394	1h
0.251256281407035	51346	1h
0.256281407035176	51460	1h
0.261306532663317	51535	1h
0.266331658291457	52115	1h
0.271356783919598	51761	1h
0.276381909547739	51845	1h
0.281407035175879	52256	1h
0.28643216080402	52794	1h
0.291457286432161	51908	1h
0.296482412060302	53039	1h
