cond	exp	dln
10 min	Exp.3	0.684266308361987
10 min	Exp.3	0.662873820448971
10 min	Exp.3	0.563442978870632
10 min	Exp.3	0.528809370744636
10 min	Exp.3	0.635873998460183
10 min	Exp.3	0.576979162344938
10 min	Exp.3	0.560998794994257
10 min	Exp.3	0.550971277869748
10 min	Exp.3	0.513239377005019
10 min	Exp.3	0.569479015882791
10 min	Exp.3	0.587986309616163
10 min	Exp.3	0.568129673572056
10 min	Exp.3	0.537637520511568
10 min	Exp.3	0.589199369649118
10 min	Exp.3	0.572885543051195
10 min	Exp.3	0.545119845823169
10 min	Exp.3	0.500735208383655
10 min	Exp.3	0.573241308817654
10 min	Exp.3	0.568511126869744
10 min	Exp.3	0.587234049726157
10 min	Exp.3	0.628429281176295
10 min	Exp.3	0.565123429093885
10 min	Exp.3	0.578764428703862
10 min	Exp.3	0.572161270945977
10 min	Exp.3	0.537235716538286
10 min	Exp.3	0.592683058466374
10 min	Exp.3	0.597734156328874
10 min	Exp.3	0.543112123180608
10 min	Exp.3	0.570933143068299
10 min	Exp.3	0.55525493715989
10 min	Exp.3	0.596482612474034
10 min	Exp.3	0.560284772983275
10 min	Exp.3	0.552304449200676
10 min	Exp.3	0.545369832472679
10 min	Exp.3	0.630099980530296
10 min	Exp.3	0.586304253891748
10 min	Exp.3	0.533394941006233
10 min	Exp.3	0.650611810991332
10 min	Exp.3	0.5638466986919
10 min	Exp.3	0.561919644215053
10 min	Exp.3	0.662415598294308
10 min	Exp.3	0.595626238394897
10 min	Exp.3	0.28050666473493
10 min	Exp.3	0.52956577657939
10 min	Exp.3	0.545937788132347
10 min	Exp.3	0.611778242633264
10 min	Exp.3	0.520577596877652
10 min	Exp.3	0.977348449327324
10 min	Exp.3	0.404430579242418
10 min	Exp.3	0.549352346214106
10 min	Exp.3	0.556202712649646
10 min	Exp.3	0.500172555427709
10 min	Exp.3	0.569771397530693
10 min	Exp.3	0.528590747671336
10 min	Exp.3	0.50940846530969
10 min	Exp.3	0.561737758856565
10 min	Exp.3	0.559441158536654
10 min	Exp.3	0.561238937676686
10 min	Exp.3	0.544403962331492
10 min	Exp.3	0.615407240491017
10 min	Exp.3	0.622174259325571
10 min	Exp.3	0.620675530565618
10 min	Exp.3	0.644979225581942
10 min	Exp.3	0.587066444357172
10 min	Exp.3	0.684373464238048
10 min	Exp.3	0.721367378734864
10 min	Exp.3	0.562544749125184
10 min	Exp.3	0.557010409127586
10 min	Exp.3	0.550734479871991
10 min	Exp.3	0.627291736047572
10 min	Exp.3	0.524987762442885
10 min	Exp.3	0.509070610754324
10 min	Exp.3	0.574855140186658
10 min	Exp.3	0.461707137367152
10 min	Exp.3	0.521179320460974
10 min	Exp.3	0.531719069537463
10 min	Exp.3	0.592353511436606
10 min	Exp.3	0.471106349749477
10 min	Exp.3	0.548955587516157
10 min	Exp.3	0.57732251107101
10 min	Exp.3	0.573859817940735
10 min	Exp.3	0.538890544320294
10 min	Exp.3	0.594500797025208
10 min	Exp.3	0.618483030649786
10 min	Exp.3	0.549191443424389
10 min	Exp.3	0.785362634650464
10 min	Exp.3	0.563523267475138
10 min	Exp.3	0.62993896484375
10 min	Exp.3	0.510220298664609
10 min	Exp.3	0.570250943279927
10 min	Exp.3	0.537701211753497
10 min	Exp.3	0.5153874040346
10 min	Exp.3	0.904404747204315
10 min	Exp.3	0.560443283944191
10 min	Exp.3	0.56544025045886
10 min	Exp.3	0.527694507551988
10 min	Exp.3	0.540912712195005
10 min	Exp.3	0.556436755724821
10 min	Exp.3	0.496431828074313
10 min	Exp.3	0.593923142270624
10 min	Exp.3	0.618266494600548
10 min	Exp.3	0.534272110681882
10 min	Exp.3	0.515066771799007
10 min	Exp.3	0.55128366531151
10 min	Exp.3	0.511153985613414
10 min	Exp.3	0.5284332862524
10 min	Exp.3	0.585175296605109
10 min	Exp.3	0.57743824281264
10 min	Exp.3	0.496140899062725
10 min	Exp.3	0.598190625377933
10 min	Exp.3	0.517289603313295
10 min	Exp.3	0.600133094530795
10 min	Exp.3	0.572626672380965
10 min	Exp.3	0.633590461350857
10 min	Exp.3	0.565307393268776
10 min	Exp.3	0.546953088045843
10 min	Exp.3	0.588950745063791
10 min	Exp.3	0.589100981788866
10 min	Exp.3	0.662543856244531
10 min	Exp.3	0.562085298195613
10 min	Exp.3	0.536770068040031
10 min	Exp.3	0.543023856747232
10 min	Exp.3	0.519838243412555
10 min	Exp.3	0.497906706747264
10 min	Exp.3	0.578592845004253
10 min	Exp.3	0.566721543041706
10 min	Exp.3	0.562664244738473
10 min	Exp.3	0.571552023951042
10 min	Exp.3	0.586245190364473
10 min	Exp.3	0.584823270727259
10 min	Exp.3	0.526127411258016
10 min	Exp.3	0.521422499491823
10 min	Exp.3	0.542629256162582
