cond	sd
6 h	0.16290896402101
6 h	0.212546971945104
6 h	0.108363988295225
6 h	0.109768876965248
6 h	0.161035772080979
6 h	0.173197830415199
6 h	0.158699781062622
6 h	0.210965708912494
6 h	0.229952028100184
6 h	0.157976604700156
6 h	0.148794199007182
6 h	0.234050941584828
6 h	0.1607293838223
6 h	0.231409345879868
6 h	0.204355479745341
6 h	0.274690435803935
6 h	0.18503316334283
6 h	0.214331565148244
6 h	0.235990716331459
6 h	0.195455311836994
6 h	0.180199768576064
6 h	0.23949937236582
6 h	0.135650630682604
6 h	0.23600819766638
6 h	0.222281451465668
6 h	0.225402247054178
6 h	0.286835199825279
6 h	0.220965067993457
6 h	0.202557186875419
6 h	0.125009052092601
6 h	0.156702712714865
6 h	0.196137536762804
6 h	0.218190956144098
6 h	0.258316399095971
6 h	0.221718228987315
6 h	0.223645928148448
6 h	0.202208419966688
6 h	0.291771366775905
6 h	0.255753786628185
6 h	0.2379740132381
6 h	0.104647492338802
6 h	0.142629360305399
6 h	0.206698350130476
6 h	0.257875644637218
6 h	0.208439844104502
6 h	0.173714515726103
6 h	0.117899716698287
6 h	0.161635561314538
6 h	0.104793753852008
6 h	0.138558237555572
6 h	0.172095785014551
6 h	0.172815554262594
6 h	0.132360833724034
6 h	0.226862482358094
6 h	0.199112796716999
6 h	0.18886780980872
6 h	0.204987037568843
6 h	0.20996854049243
6 h	0.172766223766025
6 h	0.18971978228487
6 h	0.215811704115391
6 h	0.182188855752635
6 h	0.126575160703984
6 h	0.149863831541155
6 h	0.195982941742271
6 h	0.2107253619428
6 h	0.186461347985751
6 h	0.237224641231177
6 h	0.257727392396848
6 h	0.160119530075927
6 h	0.253884384478726
6 h	0.221614576192552
6 h	0.190488921202799
6 h	0.224055344687892
6 h	0.19548723501507
6 h	0.123882666919759
6 h	0.142100354744014
6 h	0.173127115582607
6 h	0.19438878608629
6 h	0.187712245561071
6 h	0.22655234006716
6 h	0.204341005161186
6 h	0.236958978882822
6 h	0.275980842696541
6 h	0.129661605132155
6 h	0.172925043030374
6 h	0.1107659165014
6 h	0.2067911936601
6 h	0.173133590378478
6 h	0.125199293235463
6 h	0.1882960215919
6 h	0.165554990465401
6 h	0.192093318355417
6 h	0.155193117244394
6 h	0.247888070770984
6 h	0.209883363598647
6 h	0.224360937676996
6 h	0.258176249403061
6 h	0.186073407186622
6 h	0.196454323946602
6 h	0.159847440366414
6 h	0.199856564102286
6 h	0.18612486831322
6 h	0.169300258669348
6 h	0.167362885281606
6 h	0.187796455923739
6 h	0.214029178840055
6 h	0.291029005350968
6 h	0.198999256233817
6 h	0.204859944540389
6 h	0.201444394429573
6 h	0.242529206319104
6 h	0.264112572218376
6 h	0.250659413321407
6 h	0.211660993409059
6 h	0.21355489026995
6 h	0.260407637814656
6 h	0.239200265940958
6 h	0.178547833843876
6 h	0.244781352336023
6 h	0.267267013472738
6 h	0.0916320616323973
6 h	0.243352007609461
6 h	0.162666845787581
6 h	0.199257916419995
6 h	0.222652284067537
6 h	0.281749944513997
6 h	0.13328518960245
6 h	0.198950865816137
6 h	0.148734510768064
6 h	0.183262316434595
6 h	0.192225868479479
6 h	0.258281886938581
6 h	0.272037058403062
6 h	0.21992372034694
6 h	0.23610802078143
6 h	0.206360796646115
6 h	0.219524005063118
6 h	0.231976197973965
6 h	0.218684236231367
6 h	0.199066357052753
6 h	0.180884287918707
6 h	0.25500565829385
6 h	0.151169249878636
6 h	0.227502454968034
6 h	0.215490795582451
6 h	0.204870190870672
6 h	0.166975945575357
6 h	0.175113968904881
6 h	0.257150443870187
6 h	0.153388168723062
6 h	0.216714734292109
6 h	0.162150686319423
6 h	0.216592739313588
6 h	0.168803416335809
6 h	0.223749042049457
6 h	0.1740707930901
6 h	0.269077030766023
6 h	0.203904119351067
6 h	0.185527883167637
