comp	GPSeq
A2	0.634808990783221
A2	0.686568899055499
A2	0.545924295293662
A2	0.659076545271579
A1	0.622331583313406
A1	0.733466759716523
A2	0.697295590881985
A1	0.559481220757994
A1	0.583317665946144
A2	0.573034493678704
A2	0.590945289841443
A2	0.678636694823262
A2	0.682031102973468
A1	0.71579234769068
A2	0.688840745275675
A2	0.651562274261087
A2	0.652614857594604
A2	0.45102118580438
B1	0.557507407632425
B3	0.558937979083748
B3	0.537144841295003
A2	0.445254047632575
A2	0.527618205963402
A2	0.421985410731125
A2	0.441646614451123
A2	0.474995905543105
B1	0.548138109150378
B1	0.503131367697883
B3	0.599780572799094
B3	0.556573672005665
B3	0.498025291493226
B3	0.407016300009032
B3	0.41356716803763
B3	0.401859439115091
B3	0.336481404896469
B1	0.511811212856817
B3	0.328620230879254
B3	0.4610959218298
B3	0.390575028342005
B3	0.338649582166306
B3	0.338609637206724
B3	0.384564837380235
B3	0.33037491212196
B3	0.655851791785545
B3	0.385499260794396
B3	0.447279847815401
B3	0.469214699712607
B3	0.428736650097545
B3	0.398460506306199
B3	0.607142803292453
B3	0.390087701482871
B3	0.370857020793544
B3	0.383109059030921
B3	0.372108213875777
B3	0.345665664611556
A2	0.268921655031265
A2	0.403946359879438
A2	0.442928584481908
A2	0.543618166093203
A2	0.395310850402202
A2	0.375339891902465
A2	0.397447886838359
A2	0.462110743329472
A2	0.519153905570615
A2	0.557975839646009
A2	0.479822883754077
A2	0.525327308219742
A2	0.432463913415692
A2	0.719802428401013
A2	0.511674036120147
A2	0.546653903126571
A2	0.519273975581506
A2	0.602822459366147
A2	0.628084916171027
A2	0.703678192134224
A1	0.488118767446155
A2	0.654192502184685
A2	0.697400567865823
A1	0.577304997213573
A2	0.60465658474138
A2	0.553150618927566
A2	0.711498309131858
A2	0.715367883268067
A2	0.755777753917369
A2	0.672276937113402
A2	0.819609556963525
A2	0.798939485913969
A2	0.942793619900347
A2	0.600029923678796
A2	0.702831399409274
A2	0.628984456748252
A2	0.595112362063482
A2	0.791155072907227
A2	0.715267018912036
A2	0.630399356612032
A2	0.673738277477895
A2	0.897375543943937
