cond	contrast
10 min	1.19751351661494
10 min	1.19715158957595
10 min	1.22883762696529
10 min	1.15807692479351
10 min	1.20941641842224
10 min	1.18850531841265
10 min	1.15674572183824
10 min	1.13228150596452
10 min	1.27337676681668
10 min	1.26418373481701
10 min	1.26653188859312
10 min	1.22721434274088
10 min	1.19630664749735
10 min	1.20314655645754
10 min	1.18708496942674
10 min	1.2089890676815
10 min	1.20984319738146
10 min	1.28663028235305
10 min	1.23802976544554
10 min	1.26150097772147
10 min	1.1980655187631
10 min	1.23355140075987
10 min	1.26158993327038
10 min	1.201361551455
10 min	1.20702351887332
10 min	1.20287806184438
10 min	1.17960439124142
10 min	1.21397345011263
10 min	1.15123343630813
10 min	1.14857216546006
10 min	1.19626126254852
10 min	1.16849378999873
10 min	1.24048355828864
10 min	1.23961638727185
10 min	1.1873642755046
10 min	1.18830042991612
10 min	1.22735127264665
10 min	1.13740596160854
10 min	1.16991638792066
10 min	1.1809694628523
10 min	1.20769495510137
10 min	1.19909892687811
10 min	1.16293711254677
10 min	1.26590808475107
10 min	1.11424722205166
10 min	1.20598290158041
10 min	1.19026598060733
10 min	1.24728810208706
10 min	1.19717087547815
10 min	1.21195741089405
10 min	1.19754112763096
10 min	1.1696231743419
10 min	1.24599957955753
10 min	1.21083712935081
10 min	1.21004202261276
10 min	1.15559500318794
10 min	1.26109184520989
10 min	1.18731903170422
10 min	1.16937796673215
10 min	1.24502218617693
10 min	1.22099410329865
10 min	1.27784785950285
10 min	1.20918634966498
10 min	1.23032325646035
10 min	1.2013038375759
10 min	1.25489476656421
10 min	1.20456349480774
10 min	1.19945371063998
10 min	1.21716912626687
10 min	1.203691456842
10 min	1.17247951279612
10 min	1.25374406604204
10 min	1.19692613833649
10 min	1.21329217052558
10 min	1.23779865176107
10 min	1.19296314852278
10 min	1.18741887651636
10 min	1.24106094824739
10 min	1.23410180453726
10 min	1.15783285518417
10 min	1.22281238747873
10 min	1.21202027256972
10 min	1.18262164609717
10 min	1.23619096640009
10 min	1.22369414097011
10 min	1.22369041180488
10 min	1.22020483968261
10 min	1.21099455929321
10 min	1.2437672343163
10 min	1.23985692638253
10 min	1.2136462816741
10 min	1.21445640631542
