cond	dln
6 h	0.607208527226515
6 h	0.615146258211138
6 h	0.62993896484375
6 h	0.644377378356156
6 h	0.672303915391564
6 h	0.575928990849926
6 h	0.553048654804313
6 h	0.69800891151843
6 h	0.575647453304788
6 h	0.558355949680743
6 h	0.678823436369433
6 h	0.760708570377932
6 h	0.653637622986375
6 h	0.703571615086791
6 h	0.68026938945432
6 h	0.653882083888805
6 h	0.502590931652878
6 h	0.583564805028896
6 h	0.507030853280722
6 h	0.615329830854899
6 h	0.604423178606018
6 h	0.607764399399415
6 h	0.581118295861785
6 h	0.697329233136773
6 h	0.617568606509492
6 h	0.552522583735526
6 h	0.596838798174287
6 h	0.536181976953655
6 h	0.541786287468647
6 h	0.548536204071086
6 h	0.572924009843883
6 h	0.588800863533816
6 h	0.545169274563708
6 h	0.688557098607563
6 h	0.618792039487834
6 h	0.641543758275905
6 h	0.608056404134389
6 h	0.507684001758064
6 h	0.634664023171809
6 h	0.546924195629179
6 h	0.670674710476248
6 h	0.564189745894358
6 h	0.477678130692119
6 h	0.532085048391504
6 h	0.61652753078968
6 h	0.56922680476002
6 h	0.645226318344507
6 h	0.702501290044764
6 h	0.733033766564553
6 h	0.654117216912357
6 h	0.784864271272853
6 h	0.762680903924001
6 h	0.552158772426334
6 h	0.526826273580032
6 h	0.510572412827958
6 h	0.525327243930082
6 h	0.513511272078041
6 h	0.545317522509541
6 h	0.560983038138942
6 h	0.830655788992472
6 h	0.503641753380919
6 h	0.760780403740747
6 h	0.567279878952069
6 h	0.539843656518882
6 h	0.590466898594301
6 h	0.571969314425176
6 h	0.627025984355934
6 h	0.672400336077005
6 h	0.580248479851081
6 h	0.526933413592949
6 h	0.577597086223088
6 h	0.562717266663435
6 h	0.571837748301778
6 h	0.627569484235102
6 h	0.626466801188587
6 h	0.659055884590896
6 h	0.638291666268142
6 h	0.615042993293192
6 h	0.751635903979681
6 h	0.591918132138425
6 h	0.609483943132933
6 h	0.56905234407723
6 h	0.522411717861449
6 h	0.657740983774151
6 h	0.562562343921987
6 h	0.569673243940679
6 h	0.703213804832904
6 h	0.54523291343464
6 h	0.580423213954407
6 h	0.525358089261238
6 h	0.592170438646227
6 h	0.62458911449866
6 h	0.784891615050154
6 h	0.591337403550613
6 h	0.564152909676181
6 h	0.539740355825524
6 h	0.622127351207973
6 h	0.790075410108358
6 h	0.572932585331633
6 h	0.572968533381047
6 h	0.529271035635235
6 h	0.567200340146648
6 h	0.564492647083225
6 h	0.524105953689338
