cond	sd
10 min	0.207115093874764
10 min	0.131614349511902
10 min	0.159767258443984
10 min	0.0962762753309758
10 min	0.156486447975929
10 min	0.27072130517446
10 min	0.10355737263849
10 min	0.0774525496934065
10 min	0.10205266676385
10 min	0.137019776522692
10 min	0.13673579355923
10 min	0.123793173130278
10 min	0.197152200772821
10 min	0.117550182299474
10 min	0.106337372319142
10 min	0.078410468528409
10 min	0.0869226742518706
10 min	0.118572010877269
10 min	0.0895832589590831
10 min	0.0968351185808607
10 min	0.0932904351915331
10 min	0.0919992313916369
10 min	0.0924679693958527
10 min	0.107264941058491
10 min	0.1165449193611
10 min	0.178578382179087
10 min	0.118196592812073
10 min	0.0959455905792568
10 min	0.100736002548243
10 min	0.102669351797665
10 min	0.078660228964797
10 min	0.0927240358886976
10 min	0.0974156785332477
10 min	0.195904664128794
10 min	0.116601393337751
10 min	0.0974078175466625
10 min	0.167496431094511
10 min	0.162798600658992
10 min	0.0956056102356426
10 min	0.281855953444948
10 min	0.130621869886404
10 min	0.139927664031967
10 min	0.358738943816755
10 min	0.147223373575209
10 min	0.0978677390996097
10 min	0.498589598509812
10 min	0.125708480978901
10 min	0.12537207510854
10 min	0.141056131288782
10 min	0.107124059900017
10 min	0.1346276403177
10 min	0.151124065580158
10 min	0.123728033117377
10 min	0.14703859489499
10 min	0.225989463792419
10 min	0.0861381173583557
10 min	0.157808546242875
10 min	0.154632993946473
10 min	0.103287805942806
10 min	0.25064597060229
10 min	0.229332256026733
10 min	0.133319858504514
10 min	0.119247673117992
10 min	0.103456963241638
10 min	0.0927799797939434
10 min	0.308437852353514
10 min	0.154661032211531
10 min	0.102921447298535
10 min	0.121293858509398
10 min	0.104379827258287
10 min	0.303236081436695
10 min	0.0975618879710338
10 min	0.0991474463518631
10 min	0.115767339784698
10 min	0.107215455938707
10 min	0.157955586448772
10 min	0.468659598695714
10 min	0.116697477766875
10 min	0.149715027691033
10 min	0.19629920829076
10 min	0.0992669260646399
10 min	0.161759956232977
10 min	0.102186986353921
10 min	0.181021694519288
10 min	0.107146554522138
10 min	0.139420548810429
10 min	0.0914754914224702
10 min	0.0938757606483863
10 min	0.102234499646663
10 min	0.115525714188112
