cond	dln
6 h	0.40546794775657
6 h	0.453824021570563
6 h	0.36848538415868
6 h	0.469323547877432
6 h	0.373982047140229
6 h	0.420315734508579
6 h	0.37184499573111
6 h	0.445792735386493
6 h	0.552979179829018
6 h	0.409718769478725
6 h	0.396167828517194
6 h	0.337187955280556
6 h	0.401067150511013
6 h	0.443702861049812
6 h	0.389932771615907
6 h	0.366382817118548
6 h	0.351176688671121
6 h	0.325888913820442
6 h	0.377296391726101
6 h	0.365325171641297
6 h	0.475696100269957
6 h	0.471205024896414
6 h	0.464735328339598
6 h	0.418966451825903
6 h	0.398095548188113
6 h	0.349454643678537
6 h	0.356067844192539
6 h	0.397903164982803
6 h	0.332740295169486
6 h	0.412872449600942
6 h	0.365235766564114
6 h	0.408118317261672
6 h	0.424105513916237
6 h	0.498070274380193
6 h	0.609507676927477
6 h	0.452435090053459
6 h	0.441430996549406
6 h	0.43518553953872
6 h	0.48450481885859
6 h	0.435972183364102
6 h	0.463392325891339
6 h	0.467679865709169
6 h	0.521733480925122
6 h	0.43993896484375
6 h	0.517229865952355
6 h	0.787835537314626
6 h	0.408628493940576
6 h	0.454231642980792
6 h	0.512999615154674
6 h	0.445839782188293
6 h	0.484244721744362
6 h	0.503021401226836
6 h	0.471147919251363
6 h	0.471101898402585
6 h	0.481228026102213
6 h	0.567846635735971
6 h	0.467016005656507
6 h	0.793473730896138
6 h	0.481884572591764
6 h	0.419552793982017
6 h	0.493420161308235
6 h	0.406378806085217
6 h	0.483757771983901
6 h	0.380957337165663
6 h	0.366377784650586
6 h	0.41881606919542
6 h	0.523782445767462
6 h	0.479436944244588
6 h	0.375558943658608
6 h	0.335690895965868
6 h	0.38288568958771
6 h	0.360941219629799
6 h	0.503912914539192
6 h	0.345094713961475
6 h	0.395116783799412
6 h	0.381055475424692
6 h	0.436223493858589
6 h	0.427197508886676
6 h	0.402031870842051
6 h	0.387037989985657
6 h	0.421743353430553
6 h	0.98908530337636
6 h	0.535696895810173
6 h	0.530428670816913
6 h	0.405454950861262
6 h	0.4987926629596
6 h	0.415670005915969
6 h	0.483538791664416
6 h	0.382361025931682
6 h	0.465326094196936
6 h	0.386846491394205
6 h	0.374166732555557
6 h	0.472609762002536
6 h	0.429509414203974
6 h	0.409380383946447
6 h	0.499344902035159
6 h	0.385803935892062
6 h	0.407413007381028
6 h	0.474410800579933
6 h	0.513929905055379
6 h	0.427626082121901
6 h	0.505896081522212
6 h	0.477498665814037
6 h	0.378509155842914
6 h	0.491956784049522
6 h	0.430239731985107
6 h	0.438688853113032
6 h	0.433925542676117
6 h	0.373025269897898
6 h	0.449889602852019
6 h	0.412717810655299
6 h	0.420223200558011
6 h	0.45989084173473
6 h	0.41946917194646
6 h	0.433471499584696
6 h	0.442546409672129
6 h	0.472654790900131
6 h	0.49152879566447
6 h	0.673186799803316
6 h	0.483648162166694
6 h	0.346417475814695
6 h	0.390811924697185
6 h	0.348434979465404
6 h	0.404173582617095
6 h	0.383556956540242
6 h	0.358254793948208
6 h	0.43735216926079
6 h	0.43085857019189
6 h	0.475469268497458
6 h	0.530167495725691
6 h	0.405011779534164
6 h	0.474872973666169
6 h	0.449559063245353
6 h	0.46035153608774
6 h	0.382963917994096
6 h	0.394978698624951
6 h	0.525103551082677
6 h	0.409589556443653
6 h	0.41415380127152
6 h	0.402175042709186
6 h	0.372065434963182
6 h	0.605642508274217
6 h	0.393462710757728
6 h	0.409845677091126
6 h	0.427485640636907
6 h	0.425368614172433
6 h	0.462951825830584
6 h	0.450793310527557
6 h	0.501742692170799
6 h	0.4509967442961
6 h	0.393609479093218
6 h	0.35758210885804
6 h	0.451312940963552
6 h	0.350901438882475
6 h	0.436050672370901
6 h	0.514754678387803
6 h	0.467910014377456
6 h	0.358829911102273
6 h	0.364594309882114
6 h	0.573759896115083
6 h	0.875004213375765
6 h	0.379664166044038
6 h	0.490936959321309
6 h	0.35
6 h	0.416586384202753
6 h	0.491293648679206
6 h	0.423357202590262
6 h	0.467260933639223
6 h	0.443028878704474
6 h	0.420477047302796
6 h	0.461888907593858
6 h	0.455962381633552
6 h	0.455591026463633
6 h	0.528162151566121
6 h	0.427957651764435
6 h	0.48851823336945
6 h	0.457235571068031
6 h	0.395274612530944
6 h	0.444365510935054
6 h	0.428299715747267
6 h	0.52993896484375
6 h	0.425023052508785
6 h	0.39
6 h	0.483463762501532
6 h	0.930910153076545
6 h	0.524893351727039
6 h	0.460103004999502
6 h	0.417731134793848
6 h	0.567325986873009
6 h	0.477964786826745
6 h	0.412424601482118
6 h	0.496590060690773
6 h	0.484335844520639
6 h	0.414588564468084
6 h	0.456162705411751
6 h	0.372481228477847
6 h	0.576545030824085
6 h	0.383328759462316
6 h	0.477391186673642
6 h	0.57560214889169
6 h	0.398407547173459
6 h	0.556268789742456
6 h	0.392403323224829
6 h	0.433684225920151
6 h	0.596094040015566
6 h	0.489457198502114
6 h	0.504130830105231
6 h	0.529592743713997
6 h	0.419198901447945
6 h	0.416819459597952
6 h	0.430079318997225
6 h	0.897585527563617
6 h	0.382992114845133
6 h	0.43494345068641
6 h	0.497637893021484
6 h	0.513097253180835
